#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
wc_human_cadditions1;Castle Guestrooms;;;;;;;;;;;;;x;
wc_human_cadditions2;Castle Library;;;;;;;;;;;;;x;
wc_human_cadditions3;Castle War Room;;;;;;;;;;;;;x;
wc_human_cadditions4;Grandiose Castle Court;;;;;;;;;;;;;x;
wc_human_stables1;Mounted Soldier Corral;;Reitgelände;;;;;;;;;;;x;
wc_human_stables2;Knightly Stables;;Stallungen;;;;;;;;;;;x;
wc_human_stables3;War Corrals;;Turnierplatz;;;;;;;;;;;x;
wc_human_stables4;War Knight Corrals;;Kriegskoppel;;;;;;;;;;;x;
wc_human_macademy1;Mage Alcove;;Magierquartiere;;;;;;;;;;;x;
wc_human_macademy2;Mage Tower;;Magierturm;;;;;;;;;;;x;
wc_human_macademy3;Tower of the Arcane;;Arkaner Turm;;;;;;;;;;;x;
wc_human_macademy4;Arcane Pinnacle;;Magierspitze;;;;;;;;;;;x;
wc_human_abbey1;Cloister;;Kreuzgang;;;;;;;;;;;x;
wc_human_abbey2;Convent;;Konvent;;;;;;;;;;;x;
wc_human_abbey3;Abbey;;Abtei;;;;;;;;;;;x;
wc_human_abbey4;Grand Monastery;;Kloster;;;;;;;;;;;x;
wc_human_richres1;Magical Shops;;Zauberläden;;;;;;;;;;;x;
wc_human_richres2;Portal Hall;;Halle der Portale;;;;;;;;;;;x;
wc_human_richres3;Mage Quarters;;Magierquartiere;;;;;;;;;;;x;
wc_human_richres4;Mage District;;Magierbezirk;;;;;;;;;;;x;
wc_human_poor1;Local Park;;Stadtpark;;;;;;;;;;;x;
wc_human_poor2;Community Gardens;;Gemeinschaftsgärten;;;;;;;;;;;x;
wc_human_poor3;Urban Herbalists;;Städtische Kräuterkundige;;;;;;;;;;;x;
wc_human_poor4;Park District;;Parkbezirk;;;;;;;;;;;x;
wc_human_cadditions1_desc;Castle Guestrooms;;;;;;;;;;;;;x;
wc_human_cadditions2_desc;Castle Library;;;;;;;;;;;;;x;
wc_human_cadditions3_desc;Castle War Room;;;;;;;;;;;;;x;
wc_human_cadditions4_desc;Grandiose Castle Court;;;;;;;;;;;;;x;
wc_human_stables1_desc;A corral devoted to the training and housing of warhorses has been constructed to permanently garrison sturdy mounted knights within this settlement.;;Ein Reitgelände, auf dem die Ritter sich im Kampf üben und auf dem Kriegspferden zugeritten werden.;;;;;;;;;;;x;
wc_human_stables2_desc;This retinue of mounted knights has become fiercer and quite large, and it is a force capable of slaying and trampling a retinue of similar size.;;Die Stallungen bieten Platz für Dutzende Schlachtrösser und die Unterstützung durch Stallburschen erlaubt den Rittern, mehr Zeit im eigentlichen Training zu verbringen.;;;;;;;;;;;x;
wc_human_stables3_desc;These stables are dedicated to war. The warhorses and men that ride them are truly a force to be reckoned with.;;Auf dem Turnierplatz trainieren Woche für Woche Scharen von Rittern für den Ernstfall, auf dass die Feinde des Königreichs im Staub vergehen.;;;;;;;;;;;x;
wc_human_stables4_desc;The knights borne and trained in these corrals are borderline superhuman, thanks to the hearty, fierce and beast-like mounts they ride into battle.;;Nur die Besten der Besten unter den Rittern, die Sieger der Turniere, dürfen auf diesem Platz trainieren. Wer hier den Sieg davon trägt, ist ein wahrer Streiter des Lichts.;;;;;;;;;;;x;
wc_human_macademy1_desc;Small groups of mages have come together to found and construct a small enchanted outcropping where hedge mages and rogue casters can come and congregate.;;Eine kleine Gruppe von Magiern hat sich an diesem verzauberten Ort niedergelassen, an dem sich seit jeher Zauberkünstler und Mystiker versammelt haben.;;;;;;;;;;;x;
wc_human_macademy2_desc;The previously disorganized group of mages have built, or rather summoned, a large stone tower acting as a magical foci and repository for arcane knowledge.;;Die zuvor unorganisierte Gruppe von Magiern hat einen großen steinernen Turm errichtet, der als Aufbewahrungsort für arkanes Wissen fungiert.;;;;;;;;;;;x;
wc_human_macademy3_desc;This tower of the arcane draws upon untold amounts of ley energy in the area, further empowering the mages that find their home and family within.;;Dieser Turm des Arkanen schöpft aus einer unfassbar großen Menge an Ley-Energie und stärkt die Magier, die dort ihre Heimat und Familie finden.;;;;;;;;;;;x;
wc_human_macademy4_desc;A grand pinnacle surging with raw arcane energy finds itself having changed the environment around it. The flora and fauna find themselves rather enchanted and magical spells are heavily empowered.;;Eine gewaltige Zinne, die vor roher arkaner Energie strotzt, hat die Umgebung um sich herum verändert. Sowohl in der Tier- als auch der Pflanzenwelt lässt sich der magische Einfluss entdecken und sämtliche Zaubersprüche werden verstärkt.;;;;;;;;;;;;x
wc_human_abbey1_desc;A small cloister of human monks has been founded within the temple here with some of the monks being knowledgeable in the magical arts.;;Im Tempel wurde hier ein Kreuzgang von menschlichen Mönchen errichtet, in dem einige der Mönche über Kenntnisse in der magischen Kunst verfügen.;;;;;;;;;;;x;
wc_human_abbey2_desc;More religious minded men and women have gathered to form a convent within the temple, bringing greater prestige and piety to the local abbot and liege.;;Religiösere Männer und Frauen haben sich versammelt, um eine Abtei im Tempel zu gründen und dem örtlichen Abt und Lehnsherrn mehr Prestige und Frömmigkeit zu bringen.;;;;;;;;;;;x;
wc_human_abbey3_desc;Separate from the primary temple, an isolated abbey has been constructed to better house the more devout worshipers of the area.;;Abseits des Haupttempels wurde eine isolierte Abtei errichtet, um die frommsten Gläubigen der Gegend besser unterzubringen.;;;;;;;;;;;x;
wc_human_abbey4_desc;Perhaps reigning in the most prestige, a grand monastery stands gilded and royal isolated away from most of civilization.;;Vielleicht am prestigeträchtigsten regierend, steht ein großes Kloster vergoldet und königlich isoliert von einem Großteil der Zivilisation.;;;;;;;;;;;x;
wc_human_richres1_desc;Magical shops selling enchanted baubles, wands, and enchanting materials have opened throughout the settlement bringing a rather niche market to an otherwise drab marketplace.;;Magische Geschäfte, die verzauberte Kugeln, Stäbe und bezaubernde Materialien verkaufen,sind überall in der Siedlung zu finden und bringen Abwechslung auf einen ansonsten tristen Marktplatz.;;;;;;;;;;;x;
wc_human_richres2_desc;Centralized around the mage shops and industry, a large portal hall has been constructed allowing for quick travel around the city and the region.;;Zentral um die Magierläden und die Industrie herum wurde eine große Portalhalle errichtet, die eine schnelle Reise durch die Stadt und die Region ermöglicht.;;;;;;;;;;;x;
