#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
KNIGHTS;Large Infantry;;;;;;;;;;;;;
KNIGHTS_OFFENSIVE_FIRE;Large Infantry Attack;;;;;;;;;;;;;
KNIGHTS_DEFENSIVE_FIRE;Large Infantry Defense;;;;;;;;;;;;;
KNIGHTS_MORALE;Large Infantry Morale;;;;;;;;;;;;;
KNIGHTS_MODIFIER;Large Infantry Modifier;;;;;;;;;;;;;
PIKEMEN;Aerial Infantry;;;;;;;;;;;;;
PIKEMEN_OFFENSIVE_FIRE;Aerial Infantry Attack;;;;;;;;;;;;;
PIKEMEN_DEFENSIVE_FIRE;Aerial Infantry Defense;;;;;;;;;;;;;
PIKEMEN_MORALE;Aerial Infantry Morale;;;;;;;;;;;;;
PIKEMEN_MODIFIER;Aerial Infantry Modifier;;;;;;;;;;;;;
LIGHT_CAVALRY;Cavalry;;;;;;;;;;;;;
LIGHT_CAVALRY_OFFENSIVE_FIRE;Cavalry Attack;;;;;;;;;;;;;
LIGHT_CAVALRY_DEFENSIVE_FIRE;Cavalry Defense;;;;;;;;;;;;;
LIGHT_CAVALRY_MORALE;Cavalry Morale;;;;;;;;;;;;;
LIGHT_CAVALRY_MODIFIER;Cavalry Modifier;;;;;;;;;;;;;
ARCHERS;Ranged Infantry;;;;;;;;;;;;;
ARCHERS_OFFENSIVE_FIRE;Ranged Infantry Attack;;;;;;;;;;;;;
ARCHERS_DEFENSIVE_FIRE;Ranged Infantry Defense;;;;;;;;;;;;;
ARCHERS_MORALE;Ranged Infantry Morale;;;;;;;;;;;;;
ARCHERS_MODIFIER;Ranged Infantry Modifier;;;;;;;;;;;;;
HEAVY_INFANTRY;Infantry;;;;;;;;;;;;;
HEAVY_INFANTRY_OFFENSIVE_FIRE;Infantry Attack;;;;;;;;;;;;;
HEAVY_INFANTRY_DEFENSIVE_FIRE;Infantry Defense;;;;;;;;;;;;;
