#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
WIKIPEDIA_LINK;Wowpedia Link;;;;;;;;;;;;;x
WIKIPEDIA_LINK_DESC;Opens a browser to the Wowpedia page for this character;;;;;;;;;;;;;x
WIKIPEDIA_LINK_MISSING;This character has no Wowpedia link;;;;;;;;;;;;x
WIKIPEDIA_LINK_DISABLED;Wowpedia Links are disabled;;;;;;;;;;;;;x
##W_L_<character_ID>;link ;;;;;;;;;;;;;x

##############################################
##Azerothian
##############################################
W_L_1;https://wow.gamepedia.com/Barathen_Wrynn ;;;;;;;;;;;;;x
W_L_2;https://wow.gamepedia.com/Llane_Wrynn_I ;;;;;;;;;;;;;x
W_L_3;https://wow.gamepedia.com/Varia_Wrynn ;;;;;;;;;;;;;x
W_L_6;https://wow.gamepedia.com/Taria_Wrynn ;;;;;;;;;;;;;x
W_L_7;https://wow.gamepedia.com/Landan_Wrynn ;;;;;;;;;;;;;x
W_L_8;https://wow.gamepedia.com/Varian_Wrynn ;;;;;;;;;;;;;x
W_L_5000;https://wow.gamepedia.com/Medivh ;;;;;;;;;;;;;x
W_L_5001;https://wow.gamepedia.com/Nielas_Aran ;;;;;;;;;;;;;x
W_L_60578;https://wow.gamepedia.com/Aegwynn ;;;;;;;;;;;;;x
W_L_1005;https://wow.gamepedia.com/Thoradin ;;;;;;;;;;;;;x
W_L_1006;https://wow.gamepedia.com/Anduin_Lothar ;;;;;;;;;;;;;x

##############################################
##Lordaeronian
##############################################
W_L_60000;https://wow.gamepedia.com/House_Menethil ;;;;;;;;;;;;;x
W_L_60001;https://wow.gamepedia.com/Terenas_Menethil_II ;;;;;;;;;;;;;x
W_L_60002;https://wow.gamepedia.com/Lianne_Menethil ;;;;;;;;;;;;;x
W_L_60003;https://wow.gamepedia.com/Arthas_Menethil ;;;;;;;;;;;;;x
W_L_60004;https://wow.gamepedia.com/Calia_Menethil ;;;;;;;;;;;;;x
W_L_60005;https://wow.gamepedia.com/Gregor_Agamand ;;;;;;;;;;;;;x
W_L_60006;https://wow.gamepedia.com/Nissa_Agamand ;;;;;;;;;;;;;x
W_L_60007;https://wow.gamepedia.com/Thurman_Agamand ;;;;;;;;;;;;;x
W_L_60008;https://wow.gamepedia.com/Devlin_Agamand ;;;;;;;;;;;;;x
