#CODE;ENGLISH;FRENCH;GERMAN;;;;;;;;;;;x
# Common;;;;;;;;;;;;;;x
emperor;High King;;Hochkönig;;;;;;;;;;;x
emperor_female;High Queen;;Hochkönigin;;;;;;;;;;;x
empire_of;High Kingdom of;;Hochkönigreich von;;;;;;;;;;;x
empire;Empire;;Kaiserreich;;;;;;;;;;;x
king;King;;;;;;;;;;;;;x
king_female;King;;;;;;;;;;;;;x
kingdom_of;Kingdom of;;;;;;;;;;;;;x
kingdom;Kingdom;;;;;;;;;;;;;x
duke;Highlord;;;;;;;;;;;;;x
duke_female;Highlord;;;;;;;;;;;;;x
duchy_of;Highlordship of;;;;;;;;;;;;;x
duchy;Highlordship;;;;;;;;;;;;;x
count;Lord;;Herr;;;;;;;;;;;x
count_female;Lady;;Dame;;;;;;;;;;;x
county_of;Lordship of;;;;;;;;;;;;;x
county;Lordship;;;;;;;;;;;;;x
baron;Baron;;;;;;;;;;;;;x
baron_female;Baron;;;;;;;;;;;;;x
barony_of;Barony of;;;;;;;;;;;;;x
Barony;Barony;;;;;;;;;;;;;x
# dwarf_group;;;;;;;;;;;;;;x
duke_dwarf_group;Thane;;Thane;;;;;;;;;;;x
duke_female_dwarf_group;Thane;;Thanin;;;;;;;;;;;x
# goblin_group;;;;;;;;;;;;;;x
count_goblin_group;High Baron;;;;;;;;;;;;;x
count_female_goblin_group;High Baroness;;;;;;;;;;;;;x
county_of_goblin_group;High Barony of;;Baronie;;;;;;;;;;;x
county_goblin_group;High Barony;;;;;;;;;;;;;x
# shathyar_group;;;;;;;;;;;;;;x
emperor_shathyar_group;Emperor;;Kaiser;;;;;;;;;;;x
emperor_female_shathyar_group;Empress;;Kaiserin;;;;;;;;;;;x
empire_of_shathyar_group;Empire of;;Kaiserreich;;;;;;;;;;;x
empire_shathyar_group;Empire;;;;;;;;;;;;;x
king_shathyar_group;High General;;Oberster General;;;;;;;;;;;x
king_female_shathyar_group;High General;;Oberste Generälin;;;;;;;;;;;x
duke_shathyar_group;General;;General;;;;;;;;;;;x
duke_female_shathyar_group;General;;Generälin;;;;;;;;;;;x
# naga_group;;;;;;;;;;;;;;x
emperor_naga_group;Emperor;;Kaiser;;;;;;;;;;;x
emperor_female_naga_group;Empress;;Kaiserin;;;;;;;;;;;x
empire_of_naga_group;Empire of;;Kaiserreich;;;;;;;;;;;x
king_naga_group;Warlord;;Kriegsfürst;;;;;;;;;;;x
king_female_naga_group;Sea Witch;;Seehexe;;;;;;;;;;;x
kingdom_of_naga_group;High Tribe of;;Hoher Stamm von;;;;;;;;;;;x
kingdom_naga_group;High Tribe;;;;;;;;;;;;;x
duchy_of_naga_group;Tribe of;;Stamm von;;;;;;;;;;;x
duchy_naga_group;Tribe;;;;;;;;;;;;;x
# aqir_group;;;;;;;;;;;;;;x
emperor_aqir_group;Emperor;;Kaiser;;;;;;;;;;;x
emperor_female_aqir_group;Empress;;Kaiserin;;;;;;;;;;;x
empire_of_aqir_group;Empire of;;Kaiserreich;;;;;;;;;;;x
empire_aqir_group;Empire;;;;;;;;;;;;;x
# tirassian;;;;;;;;;;;;;;x
emperor_tirassian;Grand Lord Admiral;;Großadmiral;;;;;;;;;;;x
emperor_female_tirassian;Grand Lord Admiral;;Großadmirälin;;;;;;;;;;;x
king_tirassian;Lord Admiral;;Lordadmiral;;;;;;;;;;;x
king_female_tirassian;Lord Admiral;;Lordadmirälin;;;;;;;;;;;x
# dragon_group;;;;;;;;;;;;;;x
emperor_dragon_group;High Dragonking;;Hochkönig der Drachen;;;;;;;;;;;x
emperor_female_dragon_group;High Dragonqueen;;Hochkönigin der Drachen;;;;;;;;;;;x
empire_of_dragon_group;High Dragonflight of;;Gewaltiger Drachenschwarm von;;;;;;;;;;;x
empire_dragon_group;High Dragonflight;;Gewaltiger Drachenschwarm;;;;;;;;;;;x
king_dragon_group;Dragonking;;Drachenkönig;;;;;;;;;;;x
king_female_dragon_group;Dragonqueen;;Drachenkönigin;;;;;;;;;;;x
kingdom_of_dragon_group;Dragonflight of;;Drachenschwarm von;;;;;;;;;;;x
kingdom_dragon_group;Dragonflight;;Drachenschwarm;;;;;;;;;;;x
# troll_group;;;;;;;;;;;;;;x
emperor_troll_group;God King;;Gottkönig;;;;;;;;;;;x
emperor_female_troll_group;God Queen;;Gottkönigin;;;;;;;;;;;x
empire_of_troll_group;Empire of;;Imperium von;;;;;;;;;;;x
empire_troll_group;Empire;;;;;;;;;;;;;x
# draenei_group;;;;;;;;;;;;;;x
emperor_draenei_group;High Exarch;;Hoher Exarch;;;;;;;;;;;x
emperor_female_draenei_group;High Exarch;;Hohe Exarchin;;;;;;;;;;;x
empire_of_draenei_group;High Exarchate of;;Hochexarchat von;;;;;;;;;;;x
empire_draenei_group;High Exarchate;;Hochexarchat;;;;;;;;;;;x
king_draenei_group;Exarch;;Exarch;;;;;;;;;;;x
king_female_draenei_group;Exarchess;;Exarchin;;;;;;;;;;;x
kingdom_of_draenei_group;Exarchate of;;Exarchat von;;;;;;;;;;;x
