#CODE;ENGLISH;;;;;;;;;;;;;x
libram;Special;;;;;;;;;;;;;x
top_hat_2;Uncommon Fancy Top Hat;;;;;;;;;;;;;x
top_hat_3;Rare Fancy Top Hat;;;;;;;;;;;;;x
dagger_1;Common Dagger;;;;;;;;;;;;;x
dagger_2;Uncommon Dagger;;;;;;;;;;;;;x
dagger_3;Rare Dagger;;;;;;;;;;;;;x
dagger_4;Epic Dagger;;;;;;;;;;;;;x
pirate_admiral_hat;Pirate Admiral's Hat;;;;;;;;;;;;;x
pirate_admiral_hat_red;Pirate Admiral's Red Hat;;;;;;;;;;;;;x
pirate_admiral_hat_green;Pirate Admiral's Green Hat;;;;;;;;;;;;;x
pirate_admiral_hat_gold;Pirate Admiral's Gold Hat;;;;;;;;;;;;;x
pirate_admiral_hat_blue;Pirate Admiral's Blue Hat;;;;;;;;;;;;;x
dagger_1_desc;Guaranteed to have been owned by a real assassin. Certificate of authenticity included.;;;;;;;;;;;;;x
dagger_2_desc;Guaranteed to have been owned by a real assassin. Certificate of authenticity included.;;;;;;;;;;;;;x
dagger_3_desc;Guaranteed to have been owned by a real assassin. Certificate of authenticity included.;;;;;;;;;;;;;x
dagger_4_desc;Guaranteed to have been owned by a real assassin. Certificate of authenticity included.;;;;;;;;;;;;;x
top_hat_2_desc;With this top hat, you will definitely attract attention to yourself!;;;;;;;;;;;;;x
top_hat_3_desc;With this top hat, you will definitely attract attention to yourself!;;;;;;;;;;;;;x
pirate_admiral_hat_desc;Ye will ne'er find one like it anywheres, and all that gazes upon ye will see that yer an Admiral of the Pirate Navy!;;;;;;;;;;;;;x
pirate_admiral_hat_red_desc;Ye will ne'er find one like it anywheres, and all that gazes upon ye will see that yer an Admiral of the Pirate Navy!;;;;;;;;;;;;;x
pirate_admiral_hat_green_desc;Ye will ne'er find one like it anywheres, and all that gazes upon ye will see that yer an Admiral of the Pirate Navy!;;;;;;;;;;;;;x
pirate_admiral_hat_gold_desc;Ye will ne'er find one like it anywheres, and all that gazes upon ye will see that yer an Admiral of the Pirate Navy!;;;;;;;;;;;;;x
pirate_admiral_hat_blue_desc;Ye will ne'er find one like it anywheres, and all that gazes upon ye will see that yer an Admiral of the Pirate Navy!;;;;;;;;;;;;;x
text_effect_summon_a_parrot;Your reputation with parrots is §Gincreased§!;;;;;;;;;;;;;x
text_effect_summon_not_a_parrot;§YSomething wants to be friends with you§!;;;;;;;;;;;;;x
text_can_be_upgrated;Artifact can be improved.;;;;;;;;;;;;;x
text_can_upgrade_artifact_rn;Does not improve the artifact already.;;;;;;;;;;;;;x
artifact_up_success_tooltip;success;;;;;;;;;;;;;x
artifact_up_failure_minor_tooltip;minor failure;;;;;;;;;;;;;x
artifact_up_failure_tooltip;failure;;;;;;;;;;;;;x
artifact_up_critical_failure_tooltip;critical failure;;;;;;;;;;;;;x
can_equip_onehanded_tooltip;Does not have equipped two-handed weapon if character can not equip a two-handed weapon in one hand and character is not one-handed;;;;;;;;;;;;;x
can_equip_twohanded_tooltip;Does not have equipped one-handed weapon if character can not equip a two-handed weapon in one hand and character is not one-handed;;;;;;;;;;;;;x
can_equip_two_hats_tooltip;Does not have equipped two hats if not two-headed;;;;;;;;;;;;;x
can_equip_more_onehanded_tooltip;Can equip two one-handed weapons if character is not one-handed;;;;;;;;;;;;;x
can_equip_more_twohanded_tooltip;Can equip one two-handed weapon if character can not equip a two-handed weapon in one hand and character is not one-handed;;;;;;;;;;;;;x
summon_a_parrot;Find Parrot;;;;;;;;;;;;;x
summon_a_parrot_desc;Find a new best friend to accompany you.;;;;;;;;;;;;;x
upgrade_artifacts;Improve Artifact;;;;;;;;;;;;;x
upgrade_artifacts_desc;Try to improve your artifact.;;;;;;;;;;;;;x
pirate_hat_summon_parrot_tooltip;Earn §GHonored§! reputation with Parrots;;;;;;;;;;;;;x
open_market;Visit market;;;;;;;;;;;;;x
open_market_desc;Send servants to the market;;;;;;;;;;;;;x
close_market;Exit market;;;;;;;;;;;;;x
close_market_desc;Your servants will return from the market;;;;;;;;;;;;;x
market_buy_top_hat;Buy Top Hat;;;;;;;;;;;;;x
market_buy_top_hat_desc;Do you want a joke? I'll tell you anyway. A man bought a hat and it fits him perfectly.;;;;;;;;;;;;;x
market_buy_rogue_dagger;Buy Dagger;;;;;;;;;;;;;x
market_buy_rogue_dagger_desc;Send a servant to buy a dagger;;;;;;;;;;;;;x
blackwater_opinion;[blackwater.GetName] Opinion;;;;;;;;;;;;;x
EVTOPTA_WCMEME_excellent;Excellent.;;;;;;;;;;;;;x
EVTOPTA_WCMEME_punishment;Cut off [GetCraftsmanJob] hands.;;;;;;;;;;;;;x
