#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
;;;;;;;;;;;;;;
#Evil Upgrades;;;;;;;;;;;;;;
upgrade_unholy_statues;Unholy Statues;;;;;;;;;;;;;x
upgrade_unholy_statues_desc;These statues of unholy creatures strike terror in the hearts of enemies and inspire the dark army.;;;;;;;;;;;;;x
upgrade_sanctuary_of_shadows;Sanctuary of Shadows;;;;;;;;;;;;;x
upgrade_sanctuary_of_shadows_desc;This sanctuary serves as meeting places for acolytes.;;;;;;;;;;;;;x
upgrade_black_walls;Black Walls;;;;;;;;;;;;;x
upgrade_black_walls_desc;The walls of this building are made of black stone unknown to mortal races.;;;;;;;;;;;;;x
upgrade_crimson_hall;Crimson Hall;;;;;;;;;;;;;x
upgrade_crimson_hall_desc;This hall is luxuriously decorated in red decorations and scarlet coloured curtains and used for military meetings;;;;;;;;;;;;;x
upgrade_plagueworks;Slaughterhouse;;;;;;;;;;;;;x
upgrade_plagueworks_desc;Here, the best necromancers turn the flesh of mortal races into works of art.;;;;;;;;;;;;;x
upgrade_nerubian_busts;Nerubian Busts;;;;;;;;;;;;;x
upgrade_nerubian_busts_desc;These cold black eyes cause any mortal to panic.;;;;;;;;;;;;;x
upgrade_endless_corridors;Endless Corridors;;;;;;;;;;;;;x
upgrade_endless_corridors_desc;Giant network of corridors connecting crypts and giant halls.;;;;;;;;;;;;;x
upgrade_twilight_altar;Twilight Altar;;;;;;;;;;;;;x
upgrade_twilight_altar_desc;Every death brings the Old Gods closer to the complete corruption of this world.;;;;;;;;;;;;;x
upgrade_old_gods_relics;Old Gods' Relics;;;;;;;;;;;;;x
upgrade_old_gods_relics_desc;Pulsating fetid flesh of the Old Gods.;;;;;;;;;;;;;x
upgrade_black_obelisks;Black Obelisks;;;;;;;;;;;;;x
upgrade_black_obelisks_desc;Only the Old Gods know the purpose of these monumental structures.;;;;;;;;;;;;;x
upgrade_soul_extractor;Soul Extractor;;;;;;;;;;;;;x
upgrade_soul_extractor_desc;A tool used to extract the soul of mortal creatures.;;;;;;;;;;;;;x
upgrade_demonic_machinery;Demonic Machinery;;;;;;;;;;;;;x
upgrade_demonic_machinery_desc;Giant fel mechanisms supporting the work of this complex.;;;;;;;;;;;;;x
upgrade_fel_pool;Fel Pool;;;;;;;;;;;;;x
upgrade_fel_pool_desc;This pool of Fel Energy feeds the demonic creatures inhabiting this structure.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
#Wyrmrest Temple;;;;;;;;;;;;;;x
upgrade_ruby_sanctum;Ruby Sanctum;;;;;;;;;;;;;
