#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
;;;;;;;;;;;;;;x
#Karazhan;;;;;;;;;;;;;;x
wonder_karazhan;Karazhan;Karazhan;Karazhan;;;;;;;;;;;x
wonder_karazhan_desc;The mystical tower, located on a nexus of ley lines.;Une tour mystique, située sur le nœud de plusieurs lignes telluriques.;Dieser mystische Turm liegt auf dem Knotenpunkt von Leylinien.;;;;;;;;;;;x
String_tower;tower;tour;Turm;;;;;;;;;;;x
;;;;;;;;;;;;;;x
#Sunwell;;;;;;;;;;;;;;x
wonder_sunwell;Sunwell;Puits de soleil;Sonnenbrunnen;;;;;;;;;;;x
wonder_sunwell_sunwell;Sunwell;Puits de soleil;Sonnenbrunnen;;;;;;;;;;;x
wonder_sunwell_deathwell;Death-Touched Well;Puits de la Mort;Todgeweihter Brunnen;;;;;;;;;;;x
wonder_sunwell_felwell;Felwell;Puits démoniaque;Fel-Brunnen;;;;;;;;;;;x
wonder_sunwell_voidwell;Voidwell;Puits du Vide;Leeren-Brunnen;;;;;;;;;;;x
wonder_sunwell_desc;A fount of mystical power. Its waters are holy to the high elves.;Une source de pouvoirs mystiques. Ses eaux sont sacrées pour les Hauts-Elfes.;Ein Brunnen, der vor mystischer Energie sprudelt. Sein Wasser ist den Hochelfen heilig.;;;;;;;;;;;x
String_well;well;puits;Brunnen;;;;;;;;;;;x
sunwell_isnt_damaged_tooltip;The Well isn't damaged\n;Le Puits n’est pas endommagé\n;Der Brunnen ist nicht beschädigt\n;;;;;;;;;;;x
;;;;;;;;;;;;;;x
#Soul Engine;;;;;;;;;;;;;;x
String_Engine;Engine;Moteur;Maschine;;;;;;;;;;;x
String_engine;engine;Moteur;Maschine;;;;;;;;;;;x
wonder_soul_engine;Soul Engine;Moteur d'âmes;Seelenmaschine;;;;;;;;;;;x
wonder_soul_engine_desc;A giant complex where harvested souls are collected and stored to power the Legion's war machines.;Un gigantesque complexe où les âmes récoltées sont rassemblées et entassées pour alimenter les machines de guerre de la Légion.;Ein gewaltiger Komplex, in dem geerntete Seelen gesammelt und gespeichert werden, um die Kriegsmaschinen der Legion zu betreiben.;;;;;;;;;;;x
wonder_soul_engine_construction_desc;A giant complex where harvested souls are collected and stored to power the Legion's war machines. Its black walls hide many secrets of dark magic, intrigue and warfare.;Un gigantesque complexe où les âmes récoltées sont rassemblées et entassées pour alimenter les machines de guerre de la Légion. Ses murs noirs cachent de sombres secrets.;Ein gewaltiger Komplex, in dem geerntete Seelen gesammelt und gespeichert werden, um die Kriegsmaschinen der Legion zu betreiben. Seine schwarzen Wände bergen viele Geheimnisse der dunklen Magie, Intrigen und Kriegsführung.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
#Necropolis;;;;;;;;;;;;;;x
String_Necropolis;Necropolis;Nécropole;Nekropole;;;;;;;;;;;x
String_necropolis;necropolis;Nécropole;Nekropole;;;;;;;;;;;x
wonder_necropolis;Necropolis;Nécropole;Nekropole;;;;;;;;;;;x
wonder_necropolis_desc;A masterpiece of Nerubian architecture. The numerous rooms of this building serve as a home for both the living and the dead.;Un chef-d’œuvre d’architecture nérubienne. Les nombreuses pièces de ce bâtiment servent de logement aux vivants et aux morts.;Ein Meisterwerk der nerubischen Architektur. Die zahlreichen Räume dieses Gebäudes dienen sowohl den Lebenden als auch den Toten als Heimstatt.;;;;;;;;;;;x
wonder_necropolis_construction_desc;A masterpiece of Nerubian architecture. Its endless corridors hide many secrets of dark magic, intrigue and warfare.;Un chef-d’œuvre d’architecture nérubienne. Ses couloirs sans fin recèlent de nombreux secrets.;Ein Meisterwerk der nerubischen Architektur. Seine endlosen Gänge verbergen viele Geheimnisse der dunklen Magie, der Intrigen und der Kriegsführung.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
#Twilight Citadel;;;;;;;;;;;;;;x
wonder_twilight_citadel;Twilight Citadel;Bastion du Crépuscule;Zitadelle des Zwielichts;;;;;;;;;;;x
wonder_twilight_citadel_desc;A dark symbol of the Old Gods' burgeoning power on Azeroth. Various branches of the cultists dwell deep beneath the towering form.;Un sombre symbole de la puissance grandissante des Dieux très anciens en Azeroth. Plusieurs branches de cultistes hantent les profondeurs de la flèche.;Ein dunkles Symbol für die wachsende Macht der alten Götter auf Azeroth. Verschiedene Zweige der Kultisten leben tief unter der gewaltigen Struktur.;;;;;;;;;;;x
wonder_twilight_citadel_construction_desc;A dark symbol of the Old Gods' burgeoning power on Azeroth. Its elementium walls hide many secrets of dark magic, intrigue and warfare.;Un sombre symbole de la puissance grandissante des Dieux très anciens en Azeroth. Ses murs en élémentium cachent de sombres secrets.;Ein dunkles Symbol für die wachsende Macht der alten Götter auf Azeroth. Seine Elementiumwände verbergen viele Geheimnisse der dunklen Magie, Intrigen und Kriegsführung.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
#General;;;;;;;;;;;;;;x
wonder_aztec_pyramid;Step Pyramid;Pyramide à degrés;Stufenpyramide;;;;;;;;;;;x
wonder_aztec_pyramid_desc;The house of the Gods, an Step Pyramid is the holy place where messengers can be sent to them.;;Das Haus der Götter, eine Stufenpyramide ist der heilige Ort, an dem Boten zu ihnen geschickt werden können.;;;;;;;;;;;x
antiquity_book_arcane;Lost Libram;Libram Perdu;Verlorener Foliant;;;;;;;;;;;x
String_Arcane;libram;libram;Foliant;;;;;;;;;;;x
String_aArcane;a libram;un libram;Ein Foliant;;;;;;;;;;;x
String_AnArcane;A libram;Un libram;Ein Foliant;;;;;;;;;;;x
String_Arcanist;arcanist;arcaniste;Arkanist;;;;;;;;;;;x
String_Sensiria;Sensiria;Sensiria;Sensiria;;;;;;;;;;;x
String_Verinias;Verinias;Verinias;Verinias;;;;;;;;;;;x
String_Perotharn;Peroth'arn;Peroth'arn;Peroth'arn;;;;;;;;;;;x
String_Falrin;Falrin;Falrin;Falrin;;;;;;;;;;;x
String_Benelderath;Benel'derath;Benel'derath;Benel'derath;;;;;;;;;;;x
String_Tarsis;Tarsis;Tarsis;Tarsis;;;;;;;;;;;x
String_Rominate;Ro'minate;Ro'minate;Ro'minate;;;;;;;;;;;x
String_Kendra;Kendra;Kendra;Kendra;;;;;;;;;;;x
String_Kalyndras;Kalyndras;Kalyndras;Kalyndras;;;;;;;;;;;x
String_Kalytha;Kalytha;Kalytha;Kalytha;;;;;;;;;;;x
String_Iylar;I'ylar;l'ylar;I'ylar;;;;;;;;;;;x
