#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_wcduel_130;You have [Root.duel_hp.GetValue]/[Root.duel_max_hp.GetValue] health. The enemy has [target_duel_enemy.duel_hp.GetValue]/[target_duel_enemy.duel_max_hp.GetValue] health. [target_duel_enemy.GetCombatActionDescription];;;;;;;;;;;;;x
GetCombatActionDescription_action_magic_attack_avoided;[target_duel_enemy.GetFirstName] tried to deal Magic Damage to you, but you successfully avoided the spell.;;;;;;;;;;;;;x
GetCombatActionDescription_action_physical_attack_avoided;[target_duel_enemy.GetFirstName] tried to deal Physical Damage to you, but you successfully avoided the attack;;;;;;;;;;;;;x
GetCombatActionDescription_action_escape;[target_duel_enemy.GetFirstName] tried to escape, but couldn't.;;;;;;;;;;;;;x
GetCombatActionDescription_action_magic_attack;[target_duel_enemy.GetFirstName] used the spell and dealt Magic Damage to you.;;;;;;;;;;;;;x
GetCombatActionDescription_action_physical_attack;[target_duel_enemy.GetFirstName] attacked you and dealt Physical Damage to you.;;;;;;;;;;;;;x
GetCombatActionDescription_action_magic_shield;[target_duel_enemy.GetFirstName] defended [target_duel_enemy.GetHerselfHimself] from damage using the magical shield.;;;;;;;;;;;;;x
GetCombatActionDescription_action_increased_defence;[target_duel_enemy.GetFirstName] increased defence using one of [target_duel_enemy.GetHerHis] abilities.;;;;;;;;;;;;;x
ability_arcane_blast;Arcane Blast;;Arkane Explosion;;;;;;;;;;;x
ability_arcane_blast_desc;Deals Magic Damage to the enemy.;;Verursacht dem Feind magischen Schaden.;;;;;;;;;;;x
ability_cobra_shot;Cobra Shot;;Kobra-Schuss;;;;;;;;;;;x
ability_cobra_shot_desc;Deals Physical Damage to the enemy.;;Verursacht dem Feind körperlichen Schaden.;;;;;;;;;;;x
ability_furious_slash;Furious Slash;;Wütender Hieb;;;;;;;;;;;x
ability_furious_slash_desc;Deals Physical Damage to the enemy.;;Verursacht dem Feind körperlichen Schaden.;;;;;;;;;;;x
ability_crusader_strike;Crusader Strike;;Schlag des Kreuzritters;;;;;;;;;;;x
ability_crusader_strike_desc;Deals Physical Damage to the enemy.;;Verursacht dem Feind körperlichen Schaden.;;;;;;;;;;;x
ability_smite;Smite;;Pein;;;;;;;;;;;x
ability_smite_desc;Deals Magic Damage to the enemy.;;Verursacht dem Feind magischen Schaden.;;;;;;;;;;;x
ability_mind_blast;Mind Blast;;Gedankenexplosionen;;;;;;;;;;;x
ability_mind_blast_desc;Deals Magic Damage to the enemy.;;Verursacht dem Feind magischen Schaden.;;;;;;;;;;;x
ability_sinister_strike;Sinister Strike;;Finsterer Schlag;;;;;;;;;;;x
